python app/data/env_mapping/verify_cas_msds.pycas,name_en,name_ko
124-38-9,Carbon dioxide,이산화탄소
10024-97-2,Dinitrogen oxide,아산화질소
74-82-8,Methane,메테인
75-46-7,Trifluoromethane,플루오로폼
75-10-5,Difluoromethane,불화 메틸렌
593-53-3,Fluoromethane,플루오린화 메틸
354-33-6,Pentafluoroethane,펜타플루오로에테인
359-35-3,"1,1,2,2-Tetrafluoroethane",nan
811-97-2,"1,1,1,2-Tetrafluoroethane","1,1,1,2-테트라플루오로에테인"
430-66-0,"1,1,2-Trifluoroethane",nan
420-46-2,"1,1,1-Trifluoroethane","1,1,1-트라이플루오로에테인"
624-72-6,"1,2-Difluoroethane",nan
75-37-6,"1,1-Difluoroethane","1,1-다이플루오로에테인"
431-89-0,"1,1,1,2,3,3,3-Heptafluoropropane","1,1,1,2,3,3,3-헵타플루오로프로판"
677-56-5,"1,1,1,2,2,3-Hexafluoropropane",nan
431-63-0,"1,1,1,2,3,3-Hexafluoropropane","1,1,1,2,3,3-Hexafluoropropane"
690-39-1,"1,1,1,3,3,3-Hexafluoropropane","1,1,1,3,3,3-헥사플루오로프로파인"
460-73-1,"1,1,1,3,3-Pentafluoropropane","1,1,1,3,3-Pentafluoropropane"
679-86-7,"1,1,2,2,3-Pentafluoropropane",nan
406-58-6,"1,1,1,3,3-Pentafluorobutane","1,1,1,3,3-Pentafluorobutane"
138495-42-8,"2,3-Dihydroperfluoropentane","1,1,1,2,2,3,4,5,5,5-데카플루오로펜테인"
75-73-0,Tetrafluoromethane,테트라플루오르메탄
76-16-4,Perfluoroethane,헥사플루오로에테인
76-19-7,Octafluoropropane,과불화프로판
115-25-3,Octafluorocyclobutane,옥타플루오로사이클로부탄
355-25-9,Perfluorobutane,퍼플 루오로 부탄
678-26-2,Perfluoropentane,Dodecafluoropentane
355-42-0,Perfluorohexane,Tetradecafluorohexane
306-94-5,Perfluorodecalin,nan
2551-62-4,Sulfur hexafluoride,육불화 황
7783-54-2,Nitrogne trifluoride,삼불화질소
75-07-0,Acetaldehyde,아세트알데히드
74-86-2,Acetylene,아세틸렌
540-59-0,"1,2-Dichloroethylene","1,2-디클로로에틸렌"
107-02-8,Acrolein,아크로레인
107-13-1,Acrylonitrile,아크릴로니트릴
71-43-2,Benzene,벤젠
106-99-0,"1,3-Butadiene","1,3-부타디엔"
106-97-8,Butane,부탄
106-98-9,1-Butene,1-부텐
107-01-7,2-Butene,2-부텐
56-23-5,Carbon tetrachloride,사염화탄소
67-66-3,Chloroform,트리클로로메탄
110-82-7,Cyclohexane,시클로헥산
107-06-2,"1,2-Dichloroethane",이염화에틸렌
109-89-7,Diethylamine,디에틸아민
124-40-3,Dimethylamine,디메틸아민
74-85-1,Ethylene,에틸렌
50-00-0,Formaldehyde,포름알데히드
110-54-3,n-Hexane,헥산
67-63-0,Isopropanol,이소프로필 알코올
67-56-1,Methanol,메틸 알코올
78-93-3,Methyl ethyl ketone,메틸 에틸 케톤
75-09-2,Dichloromethane,디클로로메탄
1634-04-4,Methyl t-butyl ether,메틸삼차 부틸에테르
115-07-1,Propylene,프로필렌
75-56-9,"1,2-Propylene oxide","1,2-에폭시프로판"
71-55-6,"1,2-Propylene oxide","1,2-에폭시프로판"
79-01-6,Trichloroethylene,트리클로로에틸렌
86290-81-5,Gasoline,가솔린
8030-30-6,Naphtha,러버 솔벤트
8002-05-9,Petroleum,석유
64-19-7,Acetic acid,초산
100-41-4,Ethylbenzene,에틸벤젠
98-95-3,Nitrobenzene,니트로벤젠
108-88-3,Toluene,톨루엔
127-18-4,Tetrachloroethylene,퍼클로로에틸렌
1330-20-7,Xylene,크실렌
100-42-5,Styrene,스티렌
10102-43-9,Nitrogen monoxide,일산화질소
10102-44-0,Nitrogen dioxide,이산화질소
7446-09-5,Sulfur dioxide,이산화황
7446-11-9,Sulfur trioxide,황 트리산화물
