cas,name_en,name_ko,battery_related
124-38-9,Carbon dioxide,이산화탄소,0
554-13-2,Lithium carbonate,탄산리튬,1
1310-66-3,Lithium hydroxide,수산화리튬,1
1302-74-5,Lithium oxide,산화리튬,1
1344-28-1,Lithium aluminum oxide,산화리튬알루미늄,1
1307-96-6,Cobalt(II) oxide,산화코발트,1
10101-97-0,Nickel sulfate hexahydrate,니켈 황산염 육수화물,1
7786-81-4,Nickel sulfate,황산니켈,1
10099-76-4,Nickel(II) sulfate,황산니켈(II),1
7782-64-1,Manganese sulfate,황산망간,1
7439-93-2,Lithium metal,리튬 금속,1
7782-42-5,Graphite,흑연,1
7789-75-5,Calcium fluoride,형석,1
7429-90-5,Aluminum,알루미늄,1
7440-21-3,Silicon,규소,1
21324-40-3,Lithium hexafluorophosphate,헥사플루오로인산리튬,1
96-49-1,Ethylene carbonate,에틸렌 카보네이트,1
616-38-6,Dimethyl carbonate,디메틸 카보네이트,1
623-53-0,Ethyl methyl carbonate,에틸메틸 카보네이트,1
554-90-5,Propylene carbonate,프로필렌 카보네이트,1
105-58-8,Diethyl carbonate,디에틸 카보네이트,1
107-21-1,Ethylene glycol,에틸렌 글리콜,1
872-50-4,N-Methyl-2-pyrrolidone,N-메틸-2-피롤리돈,1
127-19-5,N,N-Dimethylacetamide,N,N-디메틸아세트아미드,1
24937-78-8,Polyvinylidene fluoride,폴리비닐리덴 플루오라이드,1
9004-32-4,Carboxymethyl cellulose,카르복시메틸셀룰로스,1
9003-04-7,Styrene-butadiene rubber,스티렌-부타디엔 고무,1
1333-86-4,Carbon black,카본블랙,1
7664-39-3,Hydrofluoric acid,플루오르화수소산,1
7664-93-9,Sulfuric acid,황산,1
1310-73-2,Sodium hydroxide,수산화나트륨,1
57-13-6,Urea,요소,1
64-17-5,Ethanol,에탄올,1
67-56-1,Methanol,메탄올,1
110-82-7,Cyclohexane,사이클로헥산,1
110-54-3,n-Hexane,노르말 헥산,1
1313-99-1,Nickel(II) oxide,산화니켈,1
10124-43-3,Cobalt(II) sulfate,황산코발트,1
1313-13-9,Manganese(IV) oxide,이산화망간,1
9002-88-4,Polyethylene,폴리에틸렌,1
9003-07-0,Polypropylene,폴리프로필렌,1
7664-41-7,Ammonia,암모니아,1
1333-74-0,Hydrogen,수소,1
74-82-8,Methane,메탄,0
10024-97-2,Nitrous oxide,아산화질소,0
7446-09-5,Sulfur dioxide,이산화황,0
7727-37-9,Nitrogen,질소,0
7782-44-7,Oxygen,산소,0
