noticedate,hour,process,line,usage,production,equipment_ct,shift,scrap,waste,label
2024-01-01,1,mixing,L1,61.0,91.0,4,night,2.21,0.54,normal
2024-01-01,1,mixing,L2,76.81,98.62,4,night,1.63,0.68,normal
2024-01-01,1,plate,L1,50.8,109.94,5,night,6.91,1.84,normal
2024-01-01,1,plate,L2,56.35,138.47,3,night,6.65,1.65,normal
2024-01-01,1,cell,L1,112.86,71.46,5,night,4.02,1.43,normal
2024-01-01,1,cell,L2,83.23,61.74,8,night,5.12,2.94,normal
2024-01-01,1,module,L1,56.56,64.88,5,night,2.53,0.53,normal
2024-01-01,1,module,L2,40.09,57.84,4,night,2.67,0.88,normal
2024-01-01,1,pack,L1,41.4,39.07,3,night,0.33,0.18,normal
2024-01-01,1,pack,L2,49.05,41.67,2,night,0.89,0.09,normal
2024-01-01,2,mixing,L1,66.54,95.18,6,night,4.63,0.71,normal
2024-01-01,2,mixing,L2,85.73,77.24,4,night,4.96,0.92,normal
2024-01-01,2,plate,L1,77.39,128.36,5,night,4.2,2.31,normal
2024-01-01,2,plate,L2,75.44,117.94,4,night,2.85,2.42,normal
2024-01-01,2,cell,L1,102.35,75.14,8,night,3.91,2.89,normal
2024-01-01,2,cell,L2,94.68,90.23,5,night,2.75,0.98,normal
2024-01-01,2,module,L1,57.89,51.54,5,night,2.79,0.68,normal
2024-01-01,2,module,L2,63.82,38.34,5,night,0.66,0.91,normal
2024-01-01,2,pack,L1,53.06,36.8,3,night,0.71,0.23,normal
2024-01-01,2,pack,L2,54.28,33.27,4,night,1.09,0.25,normal
2024-01-01,3,mixing,L1,85.01,113.67,6,night,4.28,0.61,normal
2024-01-01,3,mixing,L2,76.58,106.15,6,night,5.45,1.18,normal
2024-01-01,3,plate,L1,53.36,118.15,4,night,3.68,1.48,normal
2024-01-01,3,plate,L2,50.36,131.6,3,night,8.55,2.01,normal
2024-01-01,3,cell,L1,97.99,95.87,6,night,3.32,2.61,normal
2024-01-01,3,cell,L2,80.59,81.57,6,night,6.22,1.56,normal
2024-01-01,3,module,L1,51.2,66.99,4,night,0.69,0.4,normal
2024-01-01,3,module,L2,55.65,44.9,3,night,0.42,0.77,normal
2024-01-01,3,pack,L1,58.8,43.38,3,night,0.2,0.12,MULTIVARIATE_EFFICIENCY_DROP
2024-01-01,3,pack,L2,31.97,46.71,4,night,0.85,0.12,normal
2024-01-01,4,mixing,L1,76.28,83.77,6,night,3.5,0.99,normal
2024-01-01,4,mixing,L2,84.16,101.93,6,night,1.92,0.92,normal
2024-01-01,4,plate,L1,75.85,112.43,3,night,5.75,1.28,normal
2024-01-01,4,plate,L2,61.88,138.72,3,night,4.91,2.64,normal
2024-01-01,4,cell,L1,67.53,97.97,5,night,7.61,2.73,normal
2024-01-01,4,cell,L2,78.32,79.43,6,night,7.16,2.77,normal
2024-01-01,4,module,L1,40.06,51.71,4,night,1.08,0.83,normal
2024-01-01,4,module,L2,61.5,57.86,4,night,0.76,0.44,normal
2024-01-01,4,pack,L1,47.38,40.84,4,night,0.54,0.03,normal
2024-01-01,4,pack,L2,55.58,38.62,2,night,1.35,0.04,normal
2024-01-01,5,mixing,L1,83.8,107.01,4,night,3.38,1.72,normal
2024-01-01,5,mixing,L2,78.16,76.59,4,night,3.3,1.16,normal
2024-01-01,5,plate,L1,78.04,110.21,5,night,4.2,1.53,normal
2024-01-01,5,plate,L2,67.37,117.86,3,night,1.96,2.18,normal
2024-01-01,5,cell,L1,70.0,79.51,7,night,2.51,1.4,normal
2024-01-01,5,cell,L2,82.21,71.4,8,night,6.97,2.29,normal
2024-01-01,5,module,L1,69.62,59.62,3,night,2.0,0.7,normal
2024-01-01,5,module,L2,41.11,64.34,4,night,0.67,0.29,normal
2024-01-01,5,pack,L1,38.17,42.1,4,night,0.58,0.34,normal
2024-01-01,5,pack,L2,43.16,33.02,2,night,0.22,0.21,normal
2024-01-01,6,mixing,L1,350.53,110.84,6,day,5.91,0.63,normal
2024-01-01,6,mixing,L2,380,97.44,4,day,1.82,1.55,normal
2024-01-01,6,plate,L1,356.38,141.73,5,day,5.87,1.86,normal
2024-01-01,6,plate,L2,-35.85,139.95,3,day,6.54,2.27,NEGATIVE_POWER
2024-01-01,6,cell,L1,564.94,96.95,6,day,7.35,1.14,normal
2024-01-01,6,cell,L2,559.98,67.08,8,day,1.95,2.37,normal
2024-01-01,6,module,L1,439.62,64.07,5,day,2.35,0.44,normal
2024-01-01,6,module,L2,306.21,64.17,4,day,0.91,0.85,normal
2024-01-01,6,pack,L1,190,45.91,2,day,0.41,0.33,normal
2024-01-01,6,pack,L2,276.22,29.39,3,day,0.56,0.25,normal
2024-01-01,7,mixing,L1,380,93.25,4,day,2.11,1.76,normal
2024-01-01,7,mixing,L2,380,85.62,4,day,4.07,0.85,normal
2024-01-01,7,plate,L1,285,149.21,3,day,4.7,2.15,normal
2024-01-01,7,plate,L2,369.23,95.08,5,day,6.57,2.79,normal
2024-01-01,7,cell,L1,429.41,75.25,7,day,5.5,2.13,normal
2024-01-01,7,cell,L2,580.01,80.28,8,day,3.82,2.27,normal
2024-01-01,7,module,L1,328.78,59.95,4,day,2.03,1.01,normal
2024-01-01,7,module,L2,285,54.44,3,day,1.1,0.37,normal
